id,category,name,tagline,description,original_price,special_offer,product_image_file
1000,Skincare,VT Reedle Shot,A beauty device for your skin. Tackles both pore and skin texture issues for true skin beauty,"Ingredients in the form of microneedles smaller than pores are absorbed into dull skin as it gets stimulated to improve the condition. Deeper, faster, and better absorption has been proven through clinical trials. Ingredients in the form of microneedles open the absorption path into the skin. These microneedle-type ingredients are thinner than the pores and they gently stimulate the skin to help active ingredients better absorb by opening up the absorption path on the skin. REEDLE SHOT is a skin-care booster used as a first step after cleansing. Apply an appropriate amount to a clean, bare face.Massage over the face in a rolling motion to boost absorption and finish by pressing your face firmly with your hands.Please adjust the amount and frequency of use according to your skin’s condition and be sure to follow up with a moisturizer and sunscreen before going out.MILD REEDLE SHOT 50 can be used together with products of different content, but do not use REEDLE SHOT 100/300/700/1000 at the same time. Please refer to the [Calendar] below when using the products together.",32.0,24.59,vt-reedle-shot.png
1001,Skincare,Anua Cleansing oil,"Deep Cleanse, Gentle Care: Effortlessly Dissolve Impurities and Soothe Acne-Prone Skin with Heartleaf and Plant Oils.","Why We Love It Anua Heartleaf Pore Control Cleansing Oil is a deep cleansing mild prescription product that can be used safely even on acne-prone skin. In the satisfaction survey, 90% showed satisfaction in product, 90% wanted to recommend and repurchase the product, 90% of emulsification process proceeded quickly, 95% showed satisfaction with cleansing, 90% thought it was helpful in improving blackheads and sebum when used persistently, 95% thought it wasn’t irritating to the skin, 90% showed high satisfaction from the mild appliance and a fresh finish without any residue, and 95% felt the skin turned moist and smooth. Oil-based makeup dissolve impurities and sebum well, so oil cleansing is necessary, and as a result of the sunscreen residual test after cleansing for each cleansing product, the residual amount of sunscreen after using an oil-based cleanser (oil) is significantly lower than after using a water-based cleanser (water), hence proved the necessity of oil cleansing. Featured Ingredients Overseas patented sebum improvement patented ingredient 5 ALPHAAVOCUTA ingredient and oil without worrying about clogging pores help oil and sebum care, so even acne-prone skin can be cleansed thoroughly. It contains 10,000 PPM NON-COMED OIL™, an exclusive ingredient containing Heartleaf extract, which is effective for skin soothing, to soothe sensitive skin. Plant-derived oils such as Grape Seed Oil, Jojoba Seed Oil, Macadamia Ternifolia Seed Oil, Sunflower Seed Oil, and Olive Fruit Oil are contained in an optimal ratio to provide a moisturizing feeling to the skin. Anua took the lead for sustainable beauty by printing on paper certified by the Forest Stewardship Council, which protects forests in a sustainable way, using soybean oil, an eco-friendly vegetable ink. How to Use 1. Apply an appropriate amount of oil to dry hands. 2. Gently massage the entire dry face. 3. Add water little by little, emulsify, and roll. 4. Rinse thoroughly with water. The container has a water separation label that separates it from water, so plastic can be discharged without separate separation.",40.0,25.9,anua-pore-cleansing.png
1002,Skincare,Numbuzin vitamin concentrated serum,Reveal Radiant Skin: Powerful Brightening and Scar Removal with Glutathione and Vitamin Synergy.,"Why We Love It Thoroughly removes any blemish scars. Inner skin melanin improvement by 23.72%, skin evenness improvement by 18.90%, and pigmentation improvement by 95.24%. Removes any noticeable and hidden scars. Featured Ingredients The interaction between the strong brightening ingredient Glutathione and the antioxidant network ingredient is designed to be even more effective in caring for the remaining stimulation. Glutathione, a powerful antioxidant, is a difficult ingredient to handle due to its strong odor and stability, making it difficult to prescribe highly concentrated formulas on its own. Synergy vitamin ingredients were made to improve the efficiency of Glutathione and provide stable efficacy. Glutathione and various synergy vitamins work together to build an antioxidant network that delivers glutathione more efficiently by undergoing oxidation-reduction and antioxidant interactions. Experience the effects of Glutathione ampoule with high added amounts including ingredients that help with anti-aging network and brightening. The Glutathione capsule contains vitamins B12, B5, C, and E to care for hidden spots of concern. Contains 604,074ppm of Vaccinium Vitis-Idaea Fruit Extract. Contains 40,000ppm of Tranexamic acid. Contains 50,000ppm of Niacinamide that brightens the skin by inhibiting the movement of melanin. Contains Alpha-albutin and bisabolol. With 5% panthenol, there are no worries about irritation. How to Use Gently apply a moderate amount along the skin texture, lightly patting to help absorption. *After full application, apply another layer and help achieve even more effective care.",46.0,29.9,numbuzin-vitamin-serum.jpg
1003,Skincare,Dr.G Clear Sooothing Cream ,Dr.G ritual to naturally glowing skin,"Korea’s No.1 Soothing Cream A lightweight, fast-absorbing gel-cream designed to repair and soothe irritated and sensitive skin. Powered by 10-CICA Complex (Centella Asiatica extract), this cream offers long-lasting hydration and reduces redness, making it ideal for all skin types, especially sensitive skin. Key Benefits: •	100 Hours Long-Lasting Hydration •	Reduces Redness •	Repairs & Soothes irritated skin •	Instant Comfort for sensitive skin Clinically Proven: •	Skin irritation, non-comedogenic, and hypoallergenic tests completed. •	Real results from a consumer study with 292 participants: •	98% felt no irritation •	97% were satisfied with the product •	95% felt their skin was soothed •	94% were satisfied with the hydration How to Use: After cleansing, apply an even amount to the face and gently press with your palms to enhance absorption. Dr.G’s Dermatology Expertise: •	Over 1 million studies conducted, with 20 years of experience in dermatology. •	Winner of the Dermacosmetics Brand Customer Loyalty Awards 2023. Dr.G is committed to sustainable beauty, offering 100% recyclable packaging, and supporting initiatives such as Braille transcription and donations.",42.0,27.52,drG-cream.jpg
1004,Skincare,ilso Super Melting Sebum Softener,Wellknown for blackheads care,"Why We Love It Introducing the Sebum Softener, a game-changer in sebum care, inspired by the power of our iconic Nose Patch. This innovative product melts away stubborn sebum, leaving your pores undeniably clean and refreshed. The Sebum Challenge: • Sebum starts soft, but neglect hardens and oxidizes it, turning it into a stubborn foe. Featured Ingredients Imagine a world where sebum, instead of being a pesky foe, flows smoothly like a gentle river. This is the promise of our innovative Sebum Remove Complex, your secret weapon for clear, radiant skin. Harnessing the Power of Nature: • Fruit Powerhouse: Infused with Malus Domestica, Prunus Mume, and Papaya extracts, this formula gently nudges sebum into circulation, preventing it from becoming a stubborn clog. • Enzyme Boost: Papain, a natural enzyme, works like a tiny bulldozer, breaking down and dissolving sebum for a smoother, clearer complexion. • Grapefruit Glow: This revitalizing extract adds a touch of acidity, mimicking your skin's natural pH to dissolve sebum without irritation. Sebum Remove Complex: The Core Expertise: • Squalane & Polygonum Cuspidatum Root Extract: This dynamic duo forms a protective shield, preventing sebum from oxidizing and turning into dark, stubborn plugs. • Alkaline Advantage: Our carefully balanced formula gently dissolves sebum, mimicking the natural cleansing power of your skin. Embrace the Sebum Remove Complex and experience: • Effortless sebum flow: No more harsh extraction methods, just a gentle nudge towards a clearer you. • Radiant, healthy pores: Say goodbye to enlarged, clogged pores and hello to a smooth, even canvas. • Confidence that shines: Feel the difference of clean, healthy skin and let your natural beauty radiate. How to Use Unclog your pores and reveal glowing skin with this easy 3-step ritual: Step 1: Open your pores for a deeper cleansing experience: Warm water is your secret weapon! It gently opens your pores, prepping them to release any stubborn sebum or blackheads. Step 2: Soak & soften: Saturate a cotton pad with this magic softener and gently press it onto the areas you want to target. Leave it for 10-15 minutes as the active ingredients work their softening magic. Step 3: Say goodbye to sebum: Time to unveil your radiant skin! Use a cotton swab or applicator to gently remove the softened sebum. Rinse your face thoroughly with water, and feel the difference! Bonus Tip 1: Keep it moist for maximum magic! To prevent the formula from drying out, add a little extra to your cotton pad. This keeps the softening power going strong! Plus, the handy pointed cap lets you spray directly onto the pad for easy application. Bonus Tip 2: Double the power, double the results! Team up this Deep Clean Master with the Sebum Softener, and watch your sebum melt away even faster. It's a match made in pore-purifying heaven!",26.0,23.0,ilso-sebum-softener.jpg
1005,Skincare,Torriden Dive-In Serum,"Experience the cooling and hydrating sense from the water-burst cream, No.1 hydration soothing cream","Why We Love It As I use it more, my satisfaction is 100%, my skin is moist and not tight, my skin seems to be in good condition, and my skin's radiance seems to have improved, showing 100% satisfaction. After conducting a human application test to improve skin moisture content, it shows 100% satisfaction after 4 weeks. It soothes gently with rich moisture. Featured Ingredients To ensure better absorption of hyaluronic acid into the skin, 5 different hyaluronic acids with varying molecular sizes are mixed, providing high, medium, and low molecular weight hyaluronic acids that hydrate the skin from the surface to the deep layers. Contains a 300KDa polymers to form a moisturizing film and protect moisture. Contains a 1600KDa polymer to form a moisturizing film. Contains a 100KDa polymer for intense moisturizing. Contains a 10KDa small molecule to enhance moisture retention in the skin. Contains a 10KDa small molecule to lock in moisture quickly. Blue Complex adds a synergy effect of moisturizing and soothing with 6 patented herbal extracts of Borji, Suleguakhwacheong, lavender, chamomile, clary, and hyacinth, providing not only a moisture replenishment, but also a comfortable calming effect. How to Use Place it thickly on the area where you feel heat or dryness and try using it like a sleep pack. Restore your skin's condition with special moisturizing care.",32.0,24.0,torridean-soothing-cream.jpg
1006,Skincare,Skin1004 Madagascar Ampoule,Soothing ampoule for sensitive skin consisting of medagascan centella asiatica extract,Why We Love It Keeps the skin's pH balanced to make the skin healthier. Absorbed quickly and delivers intense hydration. Featured Ingredients Contains Madagascar centella asiatica extract to strengthen the skin barrier. Contains Madagascar centella asiatica extract only in this ampoule to soothe the sensitive skin effectively.,16.0,11.2,skin1004-ampoule.jpg
1007,Skincare,Wellage real hyaluronic blue 100 Ampoule,100% inner skin dryness solution,Why We Love It Colored by natural pigments and keeps the skin balanced Leaves out 20 ingredients that may cause skin reactions Featured Ingredients Contains hyaluronic acid to deeply hydrate the skin Contains panthenol to soothe and moisturize the skin,61.0,39.65,wellage-real-hyaluronic-ampoule.jpg
1008,Makeup,Jungsaemmool essential skin cushion,"Illuminate and Protect: A Cushion with Diamond-Infused Glow, Deep Hydration, and SPF 50+ for a Radiant, Lasting Finish.Why We Love It Excellent glow adherence complete with professional formula. The sun protection factor is SPF 50+ PA+++. Skin glow master cushion in which the dazzling glow is thoroughly applied for long-lasting sheen. Featured Ingredients The triple layering water ampoule containing pure diamond light is 100% included instead of water to provide long-lasting glow. Contains 8 kinds of hyaluronic acids with different molecular sizes, Opuntia Ficus-Indica Extract with excellent moisture retention, and diglycerin that inhibits moisture loss. Contains RADIANT MOOL AMPOULE™ to provide long-lasting clear and vivid glow. How to Use 1. Gently stamp the puff on cushion sponge and roll the puff on the palette for even immersion. 2. Apply the content in order starting from half of your face.","Why We Love It Excellent glow adherence complete with professional formula. The sun protection factor is SPF 50+ PA+++. Skin glow master cushion in which the dazzling glow is thoroughly applied for long-lasting sheen. Featured Ingredients The triple layering water ampoule containing pure diamond light is 100% included instead of water to provide long-lasting glow. Contains 8 kinds of hyaluronic acids with different molecular sizes, Opuntia Ficus-Indica Extract with excellent moisture retention, and diglycerin that inhibits moisture loss. Contains RADIANT MOOL AMPOULE™ to provide long-lasting clear and vivid glow. How to Use 1. Gently stamp the puff on cushion sponge and roll the puff on the palette for even immersion. 2. Apply the content in order starting from half of your face.",55.0,46.75,jungsaemmool-essential-cushion.jpg
1100,Makeup,Espoir eye core palette,Eye Core Palette with unrivaled high-core texture that finishes from brow to under shade,"Why We Love It This is an eyeshadow palette that completes your look from brows to under-eye shading all at once. It boasts a high-sensitivity color spectrum tailored to your skin tone and features a mirror on the back of the case, allowing you to apply makeup anytime, anywhere. Featured Ingredients The texture core is delicately adjusted for pigmentation and hardness depending on the color's function. It features an ultra-adherent texture that clings to the eyes like a magnet. How to Use Take out an appropriate amount with a brush or your finger tip and gently blend the formula.",35.0,28.0,espoir-eye-core-palette.jpg
